INFO  22:08:55,385 | james.mailprocessor | Mailet DSNBounce instantiated.
INFO  22:08:55,447 | james.mailspooler | org.apache.james.mailetcontainer.impl.JamesMailSpooler init...
INFO  22:08:55,447 | james.mailspooler | org.apache.james.mailetcontainer.impl.JamesMailSpooler uses 20 Thread(s)
INFO  22:08:55,463 | james.mailspooler | Run org.apache.james.mailetcontainer.impl.JamesMailSpooler: dequeuer-1
INFO  22:08:55,463 | james.mailspooler | Run org.apache.james.mailetcontainer.impl.JamesMailSpooler: dequeuer-2
INFO  22:08:55,463 | james.mailspooler | Queue=MailQueue:spool
INFO  22:08:55,463 | james.mailspooler | Queue=MailQueue:spool
INFO  22:08:55,588 | james.fetchmail | FetchMail Disabled
INFO  22:08:55,713 | james.smtpserver | SMTP Service bound to: 0.0.0.0:25
INFO  22:08:55,713 | james.smtpserver | SMTP Service is running on: Accidentaly
INFO  22:08:55,713 | james.smtpserver | SMTP Service handler hello name is: Accidentaly
INFO  22:08:55,713 | james.smtpserver | SMTP Service handler connection timeout is: 360
INFO  22:08:55,713 | james.smtpserver | SMTP Service connection backlog is: 200
INFO  22:08:55,713 | james.smtpserver | This SMTP server does not require authentication.
INFO  22:08:55,713 | james.smtpserver | No maximum message size is enforced for this server.
INFO  22:08:56,620 | james.smtpserver | Init SMTP Service done
INFO  22:08:56,667 | james.lmtpserver | LMTP Service disabled by configuration
INFO  22:08:56,714 | james.pop3server | POP3 Service bound to: 0.0.0.0:110
INFO  22:08:56,776 | james.pop3server | POP3 Service is running on: Accidentaly
INFO  22:08:56,776 | james.pop3server | POP3 Service handler hello name is: Accidentaly
INFO  22:08:56,776 | james.pop3server | POP3 Service handler connection timeout is: 1200
INFO  22:08:56,776 | james.pop3server | POP3 Service connection backlog is: 200
INFO  22:08:56,870 | james.pop3server | Init POP3 Service done
INFO  22:08:57,417 | james.imapserver | IMAP Service bound to: 0.0.0.0:143
INFO  22:08:57,417 | james.imapserver | IMAP Service is running on: Accidentaly
INFO  22:08:57,417 | james.imapserver | IMAP Service handler hello name is: Accidentaly
INFO  22:08:57,417 | james.imapserver | IMAP Service handler connection timeout is: 300
INFO  22:08:57,417 | james.imapserver | IMAP Service connection backlog is: 200
INFO  22:08:57,433 | james.imapserver | Init IMAP Service done
INFO  22:09:00,361 | org.apache.james.app.spring.JamesAppSpringMain | Apache James Server is successfully started in 141607 milliseconds.
